시간, 시가, 종가, 고가, 저가, %K(5), %D(3), slow %D(3), SMA(20), SD(20)
085500, 364.9, 364, 365.8, 363.6, 99.5079, 33.1693, 11.0564, 1557.9, 13325.4
090500, 364, 366.05, 367, 363.8, 99.7411, 66.4164, 33.1952, 1576.2, 13322.1
091500, 366.05, 366.15, 366.65, 365.5, 99.7684, 99.6725, 66.4194, 1594.51, 13318.7
092500, 366.15, 367.4, 367.4, 366.1, 100, 99.8365, 88.6418, 1612.88, 13315.4
093500, 367.4, 367.4, 367.6, 366.95, 94.9997, 98.256, 99.255, 1631.25, 13312.1
094500, 367.4, 367.8, 367.8, 367.05, 100, 98.3332, 98.8086, 1649.64, 13308.8
095500, 367.8, 368.4, 368.5, 367.6, 96.6665, 97.222, 97.9371, 1668.06, 13305.5
100500, 368.45, 369, 369.15, 368.4, 95.0821, 97.2495, 97.6016, 1686.51, 13302.3
101500, 369, 369.3, 369.5, 369, 92.1563, 94.635, 96.3689, 1704.97, 13299.1
102500, 369.3, 369.2, 369.5, 369, 87.7557, 91.6647, 94.5164, 1723.43, 13295.9
103500, 369.25, 369, 369.6, 368.75, 69.9997, 83.3039, 89.8679, 1741.88, 13292.7
104500, 369, 369.3, 369.35, 368.7, 74.9987, 77.5847, 84.1844, 1760.35, 13289.6
105500, 369.25, 369.2, 369.35, 368.85, 55.5559, 66.8515, 75.9134, 1778.81, 13286.6
110500, 369.2, 369.7, 369.75, 369.2, 95.2392, 75.2646, 73.2336, 1797.29, 13283.5
111500, 369.65, 369.2, 369.8, 369, 45.4556, 65.4169, 69.1777, 1815.75, 13280.5
112500, 369.15, 369.4, 369.4, 369.05, 63.6361, 68.1103, 69.5973, 1834.22, 13277.5
113500, 369.35, 369.35, 369.5, 369.15, 52.6326, 53.9081, 62.4784, 1852.69, 13274.6
114500, 369.35, 369.3, 369.45, 369.15, 37.499, 51.2559, 57.7581, 1871.15, 13271.7
115500, 369.35, 369.45, 369.55, 369.2, 56.2524, 48.7947, 51.3196, 349.93, 160.55
120500, 369.5, 369.4, 369.65, 369.3, 58.3338, 50.6951, 50.2486, 368.4, 2.91492
121500, 369.4, 369.7, 369.75, 369.4, 91.6688, 68.7516, 56.0805, 368.685, 2.36678
122500, 369.7, 369.65, 370, 369.55, 58.8231, 69.6086, 63.0184, 368.865, 1.97881
123500, 369.7, 369.75, 369.9, 369.55, 68.7495, 73.0805, 70.4802, 369.045, 1.58502
124500, 369.75, 369.8, 369.95, 369.65, 71.4273, 66.3333, 69.6741, 369.165, 1.32424
125500, 369.75, 369.8, 370.05, 369.7, 61.5381, 67.2383, 68.884, 369.285, 1.0719
130500, 369.8, 369.7, 369.95, 369.65, 30.0049, 54.3234, 62.6317, 369.38, 0.760758
131500, 369.65, 369.35, 369.75, 369.3, 6.66911, 32.7374, 51.433, 369.428, 0.530009
132500, 369.35, 369.25, 369.55, 369.25, 0, 12.2247, 33.0952, 369.44, 0.463268
133500, 369.25, 369.4, 369.55, 369.25, 18.7495, 8.47288, 17.8116, 369.445, 0.456834
134500, 369.4, 369.35, 369.4, 368.9, 42.8576, 20.5357, 13.7444, 369.453, 0.458516
135500, 369.4, 369.4, 369.55, 369.35, 58.8231, 40.1434, 23.0507, 369.473, 0.433152
140500, 369.4, 369.5, 369.55, 369.25, 92.3095, 64.6634, 41.7808, 369.483, 0.403077
141500, 369.5, 369.75, 369.75, 369.45, 100, 83.7109, 62.8392, 369.51, 0.37653
142500, 369.75, 369.55, 369.8, 369.45, 72.222, 88.1772, 78.8505, 369.503, 0.378349
143500, 369.55, 369.45, 369.6, 369.3, 36.3667, 69.5296, 80.4725, 369.515, 0.370835
144500, 369.5, 369.25, 369.55, 369.2, 8.33164, 38.9734, 65.5601, 369.508, 0.365593
145500, 369.25, 369.5, 369.55, 369.25, 50, 31.5661, 46.6897, 369.515, 0.357936
150500, 369.5, 369.75, 369.85, 369.5, 84.6143, 47.6486, 39.3961, 369.538, 0.350839
151500, 369.75, 369.55, 369.8, 369.5, 53.8429, 62.8191, 47.3446, 369.543, 0.346544
152500, 369.55, 369.6, 369.7, 369.35, 61.5381, 66.6651, 59.0443, 369.553, 0.343014
153500, 369.6, 369.95, 370, 369.55, 93.335, 69.572, 66.3521, 369.565, 0.362954
154500, 370.05, 370.05, 370.05, 369.8, 100, 84.9577, 73.7316, 369.585, 0.397072
