시간, 시가, 종가, 고가, 저가, %K(5), %D(3), slow %D(3), SMA(20), SD(20)
085500, 387.3, 386.65, 387.45, 386.55, 99.7935, 33.2645, 11.0882, 19.3325, 168.639
090500, 386.6, 385.7, 386.85, 385.4, 99.5483, 66.4473, 33.2373, 38.6175, 231.86
091500, 385.7, 386.9, 387.1, 385.6, 99.858, 99.7333, 66.4817, 57.9625, 275.993
092500, 386.85, 386.5, 387.05, 385.75, 99.7548, 99.7204, 88.6337, 77.2875, 309.167
093500, 386.5, 386.95, 387.25, 386.45, 75.61, 91.7409, 97.0649, 96.635, 334.756
094500, 386.9, 386.5, 387.15, 386.3, 59.4596, 78.2748, 89.912, 115.96, 354.289
095500, 386.5, 386.35, 386.55, 385.95, 45.4547, 60.1748, 76.7302, 135.277, 368.718
100500, 386.35, 386.1, 386.4, 385.85, 23.3337, 42.7493, 60.3996, 154.582, 378.663
101500, 386.15, 385.9, 386.4, 385.8, 6.89691, 25.2285, 42.7175, 173.877, 384.486
102500, 385.9, 385.55, 385.9, 385.45, 5.88098, 12.0372, 26.6717, 193.155, 386.344
103500, 385.55, 385, 385.6, 385, 0, 4.2593, 13.8417, 212.405, 384.304
104500, 385, 384.65, 385.25, 384.65, 0, 1.96033, 6.08561, 231.637, 378.324
105500, 384.65, 385, 385.05, 384.4, 30.0003, 10.0001, 5.40658, 250.887, 368.244
110500, 385.05, 385.25, 385.25, 384.7, 56.6671, 28.8891, 13.6165, 270.15, 353.735
111500, 385.25, 384.95, 385.4, 384.85, 45.8344, 44.1673, 27.6855, 289.398, 334.198
112500, 384.9, 384.5, 384.9, 384.45, 10.0006, 37.5007, 36.8524, 308.622, 308.655
113500, 384.5, 384.35, 384.8, 384.35, 0, 18.6117, 33.4265, 327.84, 275.476
114500, 384.4, 384.75, 384.9, 384.3, 40.91, 16.9702, 24.3608, 347.078, 231.412
115500, 384.75, 384.85, 385, 384.75, 50.0014, 30.3038, 21.9619, 366.32, 168.102
120500, 384.85, 384.65, 384.9, 384.5, 50, 46.9705, 31.4148, 385.553, 1.63801
121500, 384.65, 384.5, 384.8, 384.4, 28.5727, 42.858, 40.0441, 385.445, 1.58113
122500, 384.5, 384.35, 384.6, 384.25, 13.3341, 30.6356, 40.1547, 385.378, 1.62797
123500, 384.3, 384.15, 384.4, 383.95, 19.0461, 20.3176, 31.2704, 385.24, 1.62428
124500, 384.15, 384, 384.3, 384, 5.26197, 12.5474, 21.1669, 385.115, 1.6104
125500, 384, 383.9, 384.05, 383.75, 14.2853, 12.8645, 15.2432, 384.962, 1.49202
130500, 383.9, 383.7, 384.05, 383.65, 5.26502, 8.27076, 11.2275, 384.823, 1.37733
131500, 383.7, 383.7, 383.85, 383.6, 12.501, 10.6838, 10.6063, 384.69, 1.30189
132500, 383.7, 383.65, 383.75, 383.45, 23.5279, 13.7646, 10.9064, 384.568, 1.22569
133500, 383.65, 384.4, 384.4, 383.6, 100, 45.343, 23.2638, 384.492, 1.05013
134500, 384.4, 384.45, 384.65, 384.15, 83.3346, 68.9542, 42.6873, 384.438, 0.916494
135500, 384.5, 384.2, 384.6, 384.15, 62.501, 81.9452, 65.4141, 384.398, 0.851471
140500, 384.25, 384.45, 384.45, 384.1, 83.3346, 76.3901, 75.7631, 384.388, 0.82729
141500, 384.45, 384.4, 384.65, 384.4, 76.1902, 74.0086, 77.4479, 384.358, 0.805486
142500, 384.45, 384.6, 384.75, 384.35, 76.9238, 78.8162, 76.4049, 384.325, 0.746965
143500, 384.6, 385.4, 385.6, 384.55, 86.6658, 79.9266, 77.5838, 384.347, 0.76984
144500, 385.35, 385.4, 385.5, 385.05, 86.6658, 83.4185, 80.7204, 384.392, 0.871961
145500, 385.45, 385.05, 385.45, 385, 55.9985, 76.4434, 79.9295, 384.427, 0.935577
150500, 385.05, 385.6, 385.9, 385.05, 80.6458, 74.4367, 78.0995, 384.47, 1.04785
151500, 385.6, 385.9, 386.15, 385.6, 84.3751, 73.6731, 74.8511, 384.523, 1.20783
152500, 385.9, 386.15, 386.3, 385.8, 88.4619, 84.4943, 77.5347, 384.598, 1.38814
153500, 386.1, 386.1, 386.3, 386, 84.6166, 85.8179, 81.3284, 384.678, 1.5437
154500, 386, 386, 386.2, 386, 76.001, 83.0265, 84.4462, 384.76, 1.65416
