시간, 시가, 종가, 고가, 저가, Width, SMA(20), SD(20)
084600, 390.05, 390, 390.6, 390, -0.0499878, 1.21484e+31, inf
084700, 390.05, 389.75, 390.05, 389.75, -0.299988, 1.21484e+31, inf
084800, 389.75, 389.3, 389.8, 389.2, -0.450012, 1.21484e+31, inf
084900, 389.35, 389.15, 389.5, 389.15, -0.200012, 1.21484e+31, inf
085000, 389.1, 389.05, 389.1, 388.75, -0.0500183, 1.21484e+31, inf
085100, 389.05, 389.35, 389.45, 389.05, 0.300018, 1.21484e+31, inf
085200, 389.35, 389.35, 389.5, 389.2, 0, 1.21484e+31, inf
085300, 389.35, 389.35, 389.45, 389.25, 0, 1.21484e+31, inf
085400, 389.35, 389.15, 389.45, 389.15, -0.200012, 1.21484e+31, inf
085500, 389.15, 389.25, 389.35, 389.15, 0.100006, 1.21484e+31, inf
085600, 389.25, 389.25, 389.35, 389.25, 0, 1.21484e+31, inf
085700, 389.25, 389.15, 389.25, 389.1, -0.100006, 1.21484e+31, inf
085800, 389.15, 389, 389.15, 388.85, -0.149994, 1.21484e+31, inf
085900, 389, 389.35, 389.4, 388.95, 0.350006, 1.21484e+31, inf
090000, 389.35, 389.6, 389.7, 389.35, 0.25, 1.21484e+31, inf
090100, 389.65, 390.75, 390.85, 389.6, 1.10001, 1.21484e+31, inf
090200, 390.7, 390.7, 390.85, 390.15, 0, 1.21484e+31, inf
090300, 390.7, 390.3, 390.7, 390.2, -0.400024, 1.21484e+31, inf
090400, 390.25, 390.9, 390.95, 390.25, 0.649994, 1.21484e+31, inf
090500, 390.9, 390.9, 391.1, 390.7, 0, 1.21484e+31, inf
090600, 390.95, 390.95, 391.05, 390.8, 0, 1.21484e+31, inf
090700, 390.95, 391, 391.15, 390.9, 0.0499878, 1.21484e+31, inf
090800, 391, 390.95, 391.05, 390.75, -0.0499878, 1.21484e+31, inf
090900, 390.95, 391.65, 391.8, 390.95, 0.699982, 1.21484e+31, inf
091000, 391.6, 391.45, 391.6, 391.3, -0.149994, 1.21484e+31, inf
091100, 391.45, 391.65, 391.7, 391.45, 0.199982, 1.21484e+31, inf
091200, 391.7, 392.15, 392.25, 391.55, 0.449982, 1.21484e+31, inf
091300, 392.1, 391.95, 392.2, 391.85, -0.149994, 1.21484e+31, inf
091400, 391.95, 392.3, 392.3, 391.95, 0.349976, 1.21484e+31, inf
091500, 392.3, 392.45, 392.5, 392.2, 0.150024, 1.21484e+31, inf
091600, 392.45, 392, 392.45, 391.8, -0.450012, 1.21484e+31, inf
091700, 392.05, 391.5, 392.15, 391.3, -0.549988, 1.21484e+31, inf
091800, 391.45, 391.75, 391.8, 391.2, 0.299988, 1.21484e+31, inf
091900, 391.75, 391.75, 391.95, 391.7, 0, 1.21484e+31, inf
