시간, 시가, 종가, 고가, 저가, %K(5), %D(3), slow %D(3), SMA(20), SD(20)
085500, 400.4, 401.85, 401.95, 400.3, 99.9751, 33.325, 11.1083, 9.40334e+23, inf
090500, 401.85, 402.3, 402.95, 401.45, 99.8387, 66.6046, 33.3099, 9.40334e+23, inf
091500, 402.3, 398.45, 402.4, 397.65, 98.8832, 99.5657, 66.4984, 9.40334e+23, inf
092500, 398.4, 398.65, 399.05, 397.25, 98.9329, 99.2183, 88.4629, 9.40334e+23, inf
093500, 398.65, 398.25, 398.9, 397.65, 17.5438, 71.7866, 90.1902, 9.40334e+23, inf
094500, 398.25, 398.85, 399.7, 398.2, 28.0702, 48.1823, 73.0624, 9.40334e+23, inf
095500, 398.9, 398.55, 399.05, 397.9, 25.2425, 23.6189, 47.8626, 9.40334e+23, inf
100500, 398.5, 397.05, 398.95, 397, 1.85139, 18.388, 30.0631, 9.40334e+23, inf
101500, 397.05, 397.45, 397.7, 396.7, 25, 17.3646, 19.7905, 9.40334e+23, inf
102500, 397.45, 397.15, 397.75, 396.55, 19.0477, 15.2997, 17.0175, 9.40334e+23, inf
103500, 397.2, 398.1, 398.5, 397.2, 62.0007, 35.3495, 22.6713, 9.40334e+23, inf
104500, 398.05, 397.15, 398.2, 397.1, 25, 35.3495, 28.6662, 9.40334e+23, inf
105500, 397.1, 397.95, 398.2, 397.1, 71.7957, 52.9321, 41.2104, 9.40334e+23, inf
110500, 397.95, 397.7, 397.95, 397.2, 58.9752, 51.9236, 46.7351, 9.40334e+23, inf
111500, 397.65, 397.05, 397.7, 396.85, 12.1201, 47.6304, 50.8287, 9.40334e+23, inf
112500, 397.05, 396.95, 397.4, 396.9, 7.40783, 26.1677, 41.9072, 9.40334e+23, inf
113500, 396.95, 397.55, 397.55, 396.9, 51.8503, 23.7927, 32.5303, 9.40334e+23, inf
114500, 397.5, 397.45, 397.75, 397.25, 54.5457, 37.9346, 29.2984, 9.40334e+23, inf
115500, 397.45, 397.1, 397.65, 397, 27.778, 44.7246, 35.484, 378.277, 173.605
120500, 397.05, 398.15, 398.2, 396.9, 96.1525, 59.4921, 47.3838, 398.185, 2.70501
121500, 398.15, 398.15, 398.2, 397.8, 96.1525, 73.361, 59.1926, 398, 2.28384
122500, 398.15, 398.25, 398.3, 398, 96.4294, 96.2448, 76.3659, 397.798, 1.23958
123500, 398.2, 398, 398.25, 397.95, 78.5722, 90.3847, 86.6635, 397.775, 0.98355
124500, 398.05, 398.2, 398.2, 397.65, 92.8589, 89.2868, 91.9721, 397.753, 0.957994
125500, 398.2, 398.65, 398.65, 398.05, 100, 90.477, 90.0495, 397.773, 0.981243
130500, 398.65, 398.85, 399.15, 398.6, 80.0008, 90.9532, 90.239, 397.772, 0.969771
131500, 398.85, 398.75, 398.85, 398.3, 73.3337, 84.4448, 88.625, 397.783, 0.991974
132500, 398.75, 398.4, 398.95, 398.35, 50, 67.7782, 81.0587, 397.85, 1.05311
133500, 398.4, 398.7, 398.8, 398.25, 59.0928, 60.8088, 71.0106, 397.913, 1.07552
134500, 398.7, 399.05, 399.1, 398.6, 88.8881, 65.9936, 64.8602, 398.008, 1.11423
135500, 399.1, 399, 399.5, 398.7, 60, 69.327, 65.3765, 398.053, 1.21213
140500, 398.95, 398.8, 399.1, 398.7, 43.999, 64.2957, 66.5388, 398.135, 1.24166
141500, 398.8, 398.25, 398.95, 398.15, 7.40783, 37.1356, 56.9194, 398.15, 1.23871
142500, 398.25, 398.65, 398.85, 398.25, 37.0369, 29.4812, 43.6375, 398.197, 1.23147
143500, 398.65, 398.75, 399, 398.55, 44.4447, 29.6298, 32.0822, 398.283, 1.17332
144500, 398.75, 399.75, 399.75, 398.75, 100, 60.4939, 39.8683, 398.422, 1.15426
145500, 399.75, 399.4, 399.85, 399.2, 73.5289, 72.6579, 54.2605, 398.515, 1.14777
150500, 399.45, 399.75, 399.8, 399.25, 93.7496, 89.0928, 74.0815, 398.63, 1.15524
151500, 399.75, 399.8, 399.9, 399.4, 92.5922, 86.6236, 82.7914, 398.765, 1.08584
152500, 399.8, 399.9, 400.05, 399.75, 88.4619, 91.6012, 89.1059, 398.853, 1.10948
153500, 399.9, 399.25, 400.15, 399.15, 10.0006, 63.6849, 80.6366, 398.908, 1.0907
154500, 399.25, 399.25, 399.55, 399.25, 10.0006, 36.1544, 63.8135, 398.957, 1.05873
