시간, 시가, 종가, 고가, 저가, %K(5), %D(3), slow %D(3), SMA(20), SD(20)
085500, 385.5, 387.2, 387.4, 385.15, 99.9484, 33.3161, 11.1054, 350.353, 278.116
090500, 387.25, 387.3, 387.6, 386.15, 99.9226, 66.6237, 33.3133, 350.295, 275.507
091500, 387.3, 386.7, 387.35, 386, 99.7678, 99.8796, 66.6065, 350.187, 272.811
092500, 386.75, 388.6, 389.15, 386.7, 99.8587, 99.8497, 88.7843, 350.175, 270.288
093500, 388.65, 389.45, 389.95, 388.55, 89.5834, 96.4033, 98.7109, 350.182, 267.798
094500, 389.4, 389.7, 390.05, 389.1, 91.3586, 93.6002, 96.6177, 350.232, 265.338
095500, 389.75, 389.15, 390, 388.95, 77.7779, 86.24, 92.0812, 350.237, 262.796
100500, 389.2, 389.05, 389.45, 388.65, 70.149, 79.7618, 86.534, 350.24, 260.221
101500, 389.05, 387.8, 389.4, 387.15, 22.4136, 56.7802, 74.2607, 350.163, 257.54
102500, 387.75, 386.85, 387.8, 386.8, 1.53902, 31.3672, 55.9697, 350.015, 254.761
103500, 386.85, 386.7, 387.6, 386.55, 4.34852, 9.43372, 32.527, 349.883, 251.989
104500, 386.65, 387.4, 387.45, 386.25, 35.9372, 13.9416, 18.2475, 349.758, 249.242
105500, 387.4, 387.6, 388.05, 387.2, 42.8574, 27.7144, 17.0299, 349.625, 246.503
110500, 387.55, 388.25, 388.7, 387.55, 81.6322, 53.4756, 31.7105, 349.543, 243.783
111500, 388.25, 388.15, 388.4, 387.75, 77.5504, 67.3467, 49.5122, 349.475, 241.045
112500, 388.15, 387.65, 388.4, 387.55, 57.1423, 72.1083, 64.3102, 349.378, 238.286
113500, 387.6, 387.9, 388, 387.45, 46.6654, 60.4527, 66.6359, 349.278, 235.518
114500, 387.9, 388, 388.55, 387.9, 43.999, 49.2689, 60.61, 349.173, 232.764
115500, 388, 387.8, 388, 387.55, 31.8167, 40.827, 50.1829, 368.563, 169.1
120500, 387.8, 388.2, 388.25, 387.65, 68.1833, 47.9997, 46.0319, 387.973, 1.73637
121500, 388.2, 387.8, 388.5, 387.8, 31.8167, 43.9389, 44.2552, 388.003, 1.6208
122500, 387.8, 387.95, 388, 387.5, 42.8588, 47.6196, 46.5194, 388.035, 1.56019
123500, 387.95, 388.05, 388.25, 387.8, 54.9988, 43.2248, 44.9277, 388.102, 1.4312
124500, 388.1, 388.1, 388.35, 387.95, 60.0006, 52.6194, 47.8212, 388.077, 1.43222
125500, 388.1, 388.45, 388.5, 387.95, 95.0012, 70.0002, 55.2814, 388.027, 1.32478
130500, 388.45, 388.85, 388.9, 388.25, 96.4294, 83.8104, 68.81, 387.985, 1.15415
131500, 388.85, 388.8, 389.15, 388.75, 74.0737, 88.5015, 80.7707, 387.967, 1.05774
132500, 388.85, 389.25, 389.7, 388.8, 74.285, 81.5961, 84.636, 387.977, 1.10077
133500, 389.3, 388.65, 389.5, 388.65, 39.999, 62.7859, 77.6278, 388.02, 1.17398
134500, 388.7, 389.05, 389.25, 388.65, 55.1711, 56.485, 66.9557, 388.13, 1.16917
135500, 389.05, 389, 389.35, 388.8, 33.3333, 42.8345, 54.0351, 388.245, 1.10324
140500, 389, 389.3, 389.6, 388.65, 61.9031, 50.1358, 49.8184, 388.34, 1.03157
141500, 389.35, 389.8, 390, 389.2, 85.1843, 60.1403, 51.0369, 388.45, 1.12714
142500, 389.8, 389.4, 390.2, 389.35, 48.3865, 65.158, 58.478, 388.507, 1.23504
143500, 389.35, 389.9, 390.2, 389.3, 80.6442, 71.405, 65.5678, 388.595, 1.33847
144500, 389.9, 390.25, 390.35, 389.85, 94.1173, 74.3827, 70.3152, 388.725, 1.45321
145500, 390.25, 389.9, 390.45, 389.8, 55.9985, 76.92, 74.2359, 388.825, 1.49764
150500, 389.9, 389.5, 389.9, 389.25, 20.8331, 56.983, 69.4286, 388.9, 1.49513
151500, 389.5, 389.6, 389.85, 389.45, 29.1669, 35.3328, 56.412, 388.99, 1.43547
152500, 389.6, 389.9, 390.05, 389.4, 54.1656, 34.7219, 42.3459, 389.075, 1.40437
153500, 389.9, 389.8, 389.95, 389.7, 45.8319, 43.0548, 37.7032, 389.175, 1.35324
154500, 390.1, 390.1, 390.1, 389.75, 100, 66.6658, 48.1475, 389.282, 1.24596
