시간, 시가, 종가, 고가, 저가,  Width, 20mSMA, 20mSD, 60mSMA, UpdateHigh, UpdateLow, Min30m, Time, Max30m, Time, 외인, 기관, 외인5m, 기관5m, 거래량, 거래량(부호),ResQty, 콜(종가), 풋(종가) ,외인(ko), 기관(ko), 외인(ko)5m, 기관(ko)5m
090100, 437.75, 437.3, 438.2, 437.3, -0.450012, 21.865, 190.615, 7.28833, 0, 0, 0, 0, 0, 0, -265, 439, 0, 0, 5226, -5226, 0, 3.14, 3.22, 0, 0, 0, 0
090200, 437.35, 436.85, 437.35, 436.75, -0.5, 43.7075, 262.245, 14.5692, 0, 0, 0, 0, 0, 0, -419, 236, 0, 0, 3429, -3429, 0, 2.77, 3.52, -172, -839, 0, 0
090300, 436.85, 436.95, 437.05, 436.75, 0.100006, 65.555, 312.104, 21.8517, 0, 0, 0, 0, 0, 0, -524, 121, 0, 0, 2335, 2335, 0, 2.9, 3.35, -172, -839, 0, 0
090400, 436.95, 436.85, 437.1, 436.85, -0.100006, 87.3975, 349.59, 29.1325, 0, 0, 0, 0, 0, 0, -866, 185, 0, 0, 1755, -1755, 0, 2.87, 3.4, -374, -1023, 0, 0
090500, 436.85, 436.85, 437.2, 436.85, 0, 109.24, 378.418, 36.4133, 0, 0, 0, 0, 0, 0, -770, 252, 0, 0, 1868, -1868, 0, 2.83, 3.38, -374, -1278, 0, 0
090600, 436.85, 436.95, 437, 436.75, 0.100006, 131.088, 400.479, 43.6958, 0, 0, 0, 0, 0, 0, -1146, 336, -176, -20, 1777, 1777, 0, 2.91, 3.3, -374, -1278, -74, -255
090700, 436.95, 437, 437.1, 436.85, 0.0499878, 152.938, 416.837, 50.9792, 0, 0, 0, 0, 0, 0, -1201, 427, -156, 38, 1647, 1647, 0, 2.91, 3.28, -308, -1415, -27, -115
090800, 436.95, 436.65, 437, 436.65, -0.300018, 174.77, 428.097, 58.2567, 0, 0, 0, 0, 0, 0, -1816, 813, -258, 138, 1839, -1839, 0, 2.74, 3.49, -169, -1726, 0, -177
090900, 436.65, 436.7, 436.9, 436.6, 0.0500183, 196.605, 434.71, 65.535, 0, 0, 0, 0, 0, 0, -1892, 941, -205, 151, 1547, 1547, 0, 2.77, 3.46, -169, -1726, 41, -140
091000, 436.7, 436.7, 436.85, 436.65, 0, 218.44, 436.88, 72.8133, 0, 0, 0, 0, 0, 0, -1798, 1020, -205, 153, 980, -980, 0, 2.76, 3.45, -179, -1794, 39, -103
091100, 436.65, 436.55, 436.75, 436.4, -0.100006, 240.268, 434.66, 80.0892, 0, 1, 0, 0, 0, 0, -2062, 1229, -183, 178, 1860, -1860, 0, 2.67, 3.54, -151, -1906, 44, -125
091200, 436.55, 436.7, 436.75, 436.5, 0.150024, 262.102, 428.012, 87.3675, 0, 1, 0, 0, 0, 0, -2362, 1353, -232, 185, 1046, 1046, 0, 2.76, 3.43, -151, -1906, 31, -98
091300, 436.7, 436.75, 436.8, 436.6, 0.0499878, 283.94, 416.71, 94.6467, 0, 1, 0, 0, 0, 0, -2466, 1467, -130, 130, 747, 747, 0, 2.78, 3.4, -271, -2062, -20, -67
091400, 436.75, 436.7, 436.85, 436.65, -0.0499878, 305.775, 400.354, 101.925, 0, 1, 0, 0, 0, 0, -2641, 1595, -149, 130, 736, -736, 0, 2.76, 3.45, -323, -2159, -30, -86
091500, 436.7, 436.75, 436.8, 436.6, 0.0499878, 327.612, 378.294, 109.204, 0, 1, 0, 0, 0, 0, -2968, 1700, -234, 136, 722, 722, 0, 2.8, 3.38, -323, -2159, -28, -73
091600, 436.75, 436.5, 436.8, 436.5, -0.25, 349.438, 349.438, 116.479, 0, 2, 0, 0, 0, 0, -3007, 1755, -189, 105, 1106, -1106, 0, 2.67, 3.53, -327, -2237, -35, -66
091700, 436.5, 436.5, 436.55, 436.3, 0, 371.263, 311.923, 123.754, 0, 2, 0, 0, 0, 0, -3279, 1924, -183, 114, 1697, 1697, 0, 2.63, 3.58, -453, -2334, -60, -85
091800, 436.45, 436.55, 436.6, 436.4, 0.0999756, 393.09, 262.06, 131.03, 0, 2, 0, 0, 0, 0, -3295, 1976, -165, 101, 387, 387, 0, 2.69, 3.45, -453, -2334, -36, -54
091900, 436.6, 436.55, 436.65, 436.5, -0.0500183, 414.918, 190.378, 138.306, 0, 2, 0, 0, 0, 0, -3320, 2069, -135, 94, 902, -902, 0, 2.66, 3.53, -481, -2440, -31, -56
092000, 436.55, 436.5, 436.6, 436.45, -0.0499878, 436.743, 0.400346, 145.581, 0, 2, 0, 0, 0, 0, -3313, 2068, -69, 73, 522, -522, 0, 2.65, 3.54, -495, -2516, -34, -71
092100, 436.5, 436.5, 436.55, 436.45, 0, 436.702, 0.321684, 152.856, 0, 2, 0, 0, 0, 0, -3367, 2126, -72, 74, 329, 0, 0, 2.67, 3.52, -495, -2516, -33, -55
092200, 436.55, 436.45, 436.7, 436.4, -0.0999756, 436.683, 0.332084, 160.13, 0, 3, 0, 0, 0, 0, -3411, 2234, -26, 62, 1098, -1098, 0, 2.58, 3.62, -518, -2579, -13, -49
092300, 436.4, 436.45, 436.5, 436.35, 0.0500183, 436.658, 0.322921, 167.404, 0, 3, 0, 0, 0, 0, -3571, 2356, -55, 76, 356, 356, 0, 2.6, 3.61, -443, -2693, 2, -71
092400, 436.45, 436.2, 436.45, 436.15, -0.25, 436.625, 0.366744, 174.674, 0, 4, 0, 0, 0, 0, -3649, 2386, -65, 63, 1133, -1133, 0, 2.47, 3.8, -443, -2693, 7, -50
092500, 436.15, 436.15, 436.25, 436.1, 0, 436.59, 0.405712, 181.943, 0, 5, 0, 0, 0, 0, -4074, 2622, -152, 110, 1589, -1589, 0, 2.48, 3.82, -458, -2897, 7, -76
092600, 436.15, 436.25, 436.35, 436.1, 0.100006, 436.555, 0.396107, 189.214, 0, 5, 0, 0, 0, 0, -4401, 2902, -206, 155, 861, 861, 0, 2.5, 3.74, -571, -3023, -15, -101
092700, 436.25, 436.3, 436.4, 436.25, 0.0499878, 436.52, 0.354122, 196.486, 0, 5, 0, 0, 0, 0, -4379, 2935, -193, 140, 662, 662, 0, 2.53, 3.71, -571, -3023, -10, -88
092800, 436.3, 436.25, 436.35, 436.2, -0.0499878, 436.5, 0.367428, 203.757, 0, 5, 0, 0, 0, 0, -4357, 2977, -157, 124, 360, -360, 0, 2.52, 3.72, -579, -2988, -27, -59
092900, 436.25, 436.1, 436.35, 436.1, -0.149994, 436.47, 0.39421, 211.025, 0, 6, 0, 0, 0, 0, -4407, 3037, -151, 130, 694, -694, 0, 2.45, 3.83, -615, -3052, -34, -71
093000, 436.1, 436.15, 436.15, 436, 0.0499878, 436.442, 0.402835, 218.294, 0, 6, 436.1, 29, 437.3, 1, -4920, 3241, -169, 123, 1137, 1137, 0, 2.47, 3.81, -615, -3052, -31, -31
093100, 436.1, 435.9, 436.15, 435.9, -0.200012, 436.41, 0.463253, 225.559, 0, 7, 435.9, 31, 437, 7, -5183, 3387, -156, 97, 1778, -1778, 0, 2.37, 4.05, -683, -3230, -22, -41
093200, 435.9, 435.85, 435.95, 435.75, -0.0499878, 436.367, 0.503265, 232.823, 0, 8, 435.85, 32, 437, 7, -5761, 3543, -276, 121, 1063, -1063, 0, 2.34, 4.14, -762, -3295, -38, -54
093300, 435.8, 435.8, 435.85, 435.75, 0, 436.32, 0.528586, 240.087, 0, 9, 435.8, 33, 437, 7, -6261, 3758, -380, 156, 473, -473, 0, 2.34, 4.14, -762, -3295, -36, -61
