시간, 시가, 종가, 고가, 저가,  Width, 20mSMA, 20mSD, 60mSMA, UpdateHigh, UpdateLow, Min30m, Time, Max30m, Time, 외인, 기관, 외인5m, 기관5m, 거래량, 거래량(부호),ResQty, 콜(종가), 풋(종가) ,외인(ko), 기관(ko), 외인(ko)5m, 기관(ko)5m
090059, 433.05, 433.05, 433.05, 433.05, 0, 21.6525, 188.762, 7.2175, 0, 0, 0, 0, 0, 0, 528, -223, 0, 0, 5344, 0, 0, 0, 0, 0, 0, 0, 0
090159, 432.55, 432.5, 432.6, 432.35, -0.0499878, 43.2775, 259.665, 14.4258, 0, 0, 0, 0, 0, 0, 228, -235, 0, 0, 2828, -2828, -390, 2.11, 0, -135, -600, 0, 0
090259, 432.4, 431.9, 432.4, 431.85, -0.5, 64.8725, 308.855, 21.6242, 0, 1, 0, 0, 0, 0, -124, -144, 0, 0, 3066, -3066, -2126, 1.87, 0, -135, -600, 0, 0
090359, 431.85, 431.95, 432.2, 431.75, 0.100006, 86.47, 345.88, 28.8233, 0, 1, 0, 0, 0, 0, -304, -40, 0, 0, 2309, 2309, -1794, 1.9, 0, -756, -866, 0, 0
090459, 431.95, 431.85, 432, 431.6, -0.100006, 108.063, 374.34, 36.0208, 0, 2, 0, 0, 0, 0, -610, 92, 0, 0, 2165, -2165, -2259, 1.89, 0, -591, -1121, 0, 0
090559, 431.85, 431.7, 432.05, 431.7, -0.149994, 129.647, 396.08, 43.2158, 0, 3, 0, 0, 0, 0, -749, 155, -255, 75, 1916, -1916, -2781, 1.84, 0, -591, -1121, 0, 0
090659, 431.6, 431.4, 431.8, 431.4, -0.200012, 151.217, 412.15, 50.4058, 0, 4, 0, 0, 0, 0, -900, 264, -225, 99, 3132, -3132, -3440, 1.71, 0, -537, -1129, 0, 0
090759, 431.5, 431.3, 431.75, 431.3, -0.200012, 172.783, 423.23, 57.5942, 0, 5, 0, 0, 0, 0, -1254, 377, -226, 104, 1862, -1862, -3549, 1.66, 0, -813, -1360, 0, 0
090859, 431.25, 431, 431.3, 431, -0.25, 194.332, 429.686, 64.7775, 0, 6, 0, 0, 0, 0, -1539, 515, -247, 111, 2352, -2352, -4629, 1.52, 0, -813, -1360, 0, 0
090959, 430.95, 430.95, 431.1, 430.9, 0, 215.88, 431.761, 71.96, 0, 7, 0, 0, 0, 0, -1765, 743, -231, 130, 1805, -1805, -3368, 1.53, 0, -879, -1424, 0, 0
091059, 430.95, 430.65, 431, 430.55, -0.300018, 237.412, 429.497, 79.1375, 0, 8, 0, 0, 0, 0, -1954, 812, -241, 131, 1779, -1779, -4295, 1.37, 0, -1022, -1464, 0, 0
091159, 430.7, 430.9, 431.05, 430.65, 0.199982, 258.957, 422.877, 86.3192, 0, 8, 0, 0, 0, 0, -2110, 895, -242, 126, 1149, 1149, -3041, 1.46, 0, -1022, -1464, 0, 0
091259, 430.9, 431, 431.3, 430.9, 0.100006, 280.508, 411.674, 93.5025, 0, 8, 0, 0, 0, 0, -2169, 915, -183, 107, 1529, 1529, -3125, 1.51, 0, -999, -1437, 0, 0
091359, 431, 430.95, 431.05, 430.95, -0.0499878, 302.055, 395.484, 100.685, 0, 8, 0, 0, 0, 0, -2219, 943, -136, 85, 687, -687, -3213, 1.49, 0, -950, -1503, 0, 0
091459, 431, 431.05, 431.15, 430.8, 0.0499878, 323.607, 373.671, 107.869, 0, 8, 0, 0, 0, 0, -2589, 998, -164, 51, 1199, 1199, -2632, 1.51, 0, -950, -1503, 0, 0
091559, 431, 430.9, 431.15, 430.85, -0.100006, 345.152, 345.154, 115.051, 0, 8, 0, 0, 0, 0, -2479, 961, -105, 29, 989, -989, -3252, 1.44, 0, -977, -1539, 0, 0
091659, 430.9, 430.65, 430.9, 430.65, -0.25, 366.685, 308.079, 122.228, 0, 8, 0, 0, 0, 0, -2815, 1026, -141, 26, 1056, -1056, -3801, 1.38, 0, -983, -1615, 0, 0
091759, 430.65, 431.1, 431.1, 430.65, 0.450012, 388.24, 258.829, 129.413, 0, 8, 0, 0, 0, 0, -2992, 1153, -164, 47, 1091, 1091, -2195, 1.53, 0, -983, -1615, 0, 0
091859, 431.05, 431, 431.15, 430.95, -0.0499878, 409.79, 188.029, 136.597, 0, 8, 0, 0, 0, 0, -2960, 1079, -148, 27, 982, -982, -2678, 1.5, 0, -1040, -1661, 0, 0
091959, 431, 431, 431.25, 431, 0, 431.34, 1.23272, 143.78, 0, 8, 0, 0, 0, 0, -2743, 995, -30, 0, 784, -784, -2798, 1.48, 0, -1081, -1573, 0, 0
092059, 430.95, 430.95, 431, 430.8, 0, 431.235, 0.959743, 150.962, 0, 8, 0, 0, 0, 0, -2788, 1066, -61, 21, 1036, 1036, -2912, 1.47, 0, -1081, -1573, 0, 0
092159, 430.9, 431, 431, 430.85, 0.100006, 431.16, 0.767858, 158.146, 0, 8, 0, 0, 0, 0, -2883, 1136, -13, 22, 636, 636, -2678, 1.49, 0, -1100, -1597, 0, 0
092259, 430.9, 430.6, 430.9, 430.55, -0.299988, 431.095, 0.725195, 165.323, 0, 9, 0, 0, 0, 0, -3396, 1290, -80, 27, 1562, -1562, -4271, 1.35, 0, -1115, -1636, 0, 0
092359, 430.55, 430.45, 430.55, 430.4, -0.0999756, 431.02, 0.663627, 172.497, 0, 10, 0, 0, 0, 0, -3655, 1621, -139, 108, 1413, -1413, -3976, 1.32, 0, -1115, -1636, 0, 0
092459, 430.45, 430.1, 430.5, 430.05, -0.350006, 430.932, 0.664283, 179.665, 0, 11, 0, 0, 0, 0, -3726, 1740, -196, 149, 2153, -2153, -4862, 1.22, 0, -1222, -1744, 0, 0
092559, 430.15, 430.05, 430.25, 429.95, -0.100006, 430.85, 0.672308, 186.833, 0, 12, 0, 0, 0, 0, -3977, 1840, -237, 154, 1895, -1895, -5151, 1.18, 0, -1264, -1727, 0, 0
092659, 430.05, 430.05, 430.1, 429.95, 0, 430.782, 0.70801, 194, 0, 12, 0, 0, 0, 0, -4374, 1896, -298, 152, 1222, 1222, -4666, 1.22, 0, -1264, -1727, 0, 0
092759, 430.05, 430.15, 430.15, 429.9, 0.100006, 430.725, 0.717291, 201.169, 0, 12, 0, 0, 0, 0, -4711, 2071, -263, 156, 931, 931, -3172, 1.22, 0, -1480, -1918, 0, 0
092859, 430.1, 430.15, 430.45, 430.1, 0.0499878, 430.682, 0.747184, 208.338, 0, 12, 0, 0, 0, 0, -4414, 2137, -151, 103, 1340, 1340, -3304, 1.22, 0, -1330, -1838, 0, 0
092959, 430.2, 430.05, 430.2, 430, -0.150024, 430.638, 0.784783, 215.506, 0, 12, 430.05, 30, 433.05, 1, -4581, 2142, -171, 80, 579, -579, -3707, 1.2, 0, -1330, -1838, 0, 0
093059, 430, 430.05, 430.1, 430, 0.0499878, 430.608, 0.825401, 222.673, 0, 12, 430.05, 31, 432.5, 2, -4655, 2184, -135, 68, 583, 583, -3665, 1.2, 0, -1359, -1900, 0, 0
