시간, 시가, 종가, 고가, 저가,  Width, 20mSMA, 20mSD, 60mSMA, UpdateHigh, UpdateLow, Min30m, Time, Max30m, Time, 외인, 기관, 외인5m, 기관5m, 거래량, 거래량(부호),ResQty, 콜(종가), 풋(종가) ,외인(ko), 기관(ko), 외인(ko)5m, 기관(ko)5m
090100, 433, 432.1, 433.3, 432.05, -0.899994, 21.605, 188.348, 7.20167, 0, 0, 0, 0, 0, 0, 38, 73, 0, 0, 5943, -5943, 0, 3.34, 4.01, 0, 0, 0, 0
090200, 432.1, 431.9, 432.15, 431.85, -0.200012, 43.2, 259.2, 14.4, 0, 0, 0, 0, 0, 0, -11, -210, 0, 0, 4239, -4239, 0, 3.29, 4.08, -483, -101, 0, 0
090300, 431.9, 432.1, 432.25, 431.85, 0.200012, 64.805, 308.534, 21.6017, 0, 0, 0, 0, 0, 0, 477, -246, 0, 0, 2044, 2044, 0, 3.3, 4, -483, -101, 0, 0
090400, 432.05, 432.05, 432.25, 432, 0, 86.4075, 345.63, 28.8025, 0, 0, 0, 0, 0, 0, 572, -306, 0, 0, 1297, -1297, 0, 3.28, 3.98, -515, -82, 0, 0
090500, 432.05, 432.05, 432.25, 432, 0, 108.01, 374.158, 36.0033, 0, 0, 0, 0, 0, 0, 665, -280, 0, 0, 990, -990, 0, 3.3, 3.98, -555, -218, 0, 0
090600, 432.05, 432, 432.1, 431.95, -0.0499878, 129.61, 395.965, 43.2033, 0, 0, 0, 0, 0, 0, 553, -225, 103, -59, 1270, -1270, 0, 3.27, 4.02, -555, -218, -111, -43
090700, 432, 432.15, 432.25, 431.95, 0.149994, 151.217, 412.149, 50.4058, 0, 0, 0, 0, 0, 0, 853, -287, 172, -15, 1254, 1254, 0, 3.28, 3.93, -583, -296, -20, -39
090800, 432.15, 432.3, 432.55, 432.1, 0.149994, 172.833, 423.351, 57.6108, 0, 0, 0, 0, 0, 0, 1117, -299, 128, -10, 1794, 1794, 0, 3.36, 3.85, -554, -271, -14, -34
090900, 432.3, 432.4, 432.55, 432.25, 0.100006, 194.452, 429.951, 64.8175, 0, 0, 0, 0, 0, 0, 1236, -262, 132, 8, 951, 951, 0, 3.39, 3.86, -554, -271, -7, -37
091000, 432.4, 432, 432.5, 432, -0.399994, 216.053, 432.105, 72.0175, 0, 0, 0, 0, 0, 0, 1064, -108, 79, 34, 1400, -1400, 0, 3.26, 3.99, -536, -360, 3, -28
091100, 432, 431.95, 432.2, 431.95, -0.0499878, 237.65, 429.925, 79.2167, 0, 0, 0, 0, 0, 0, 601, 38, 9, 52, 1095, -1095, 0, 3.25, 4.01, -665, -527, -22, -61
091200, 431.95, 431.55, 431.95, 431.55, -0.400024, 259.227, 423.317, 86.4092, 0, 0, 0, 0, 0, 0, 137, 190, -143, 95, 2333, -2333, 0, 3.12, 4.16, -665, -527, -16, -46
