시간, 시가, 종가, 고가, 저가,  Width, 20mSMA, 20mSD, 60mSMA, UpdateHigh, UpdateLow, Min30m, Time, Max30m, Time, 외인, 기관, 외인5m, 기관5m, 거래량, 거래량(부호),ResQty, 콜(종가), 풋(종가) ,외인(ko), 기관(ko), 외인(ko)5m, 기관(ko)5m
090100, 314.9, 315.55, 315.65, 314.65, 0.649994, 15.7775, 137.545, 5.25917, 0, 0, 0, 0, 0, 0, 211, 303, 0, 0, 5262, 5262, 0, 2.91, 2.67, 0, 0, 0, 0
090159, 315.8, 315.3, 316.25, 315.05, -0.5, 31.5425, 189.255, 10.5142, 0, 0, 0, 0, 0, 0, 265, 465, 0, 0, 4673, -4673, 446, 2.72, 0, -35, -280, 0, 0
090259, 315.3, 315.55, 315.7, 314.95, 0.25, 47.32, 225.288, 15.7733, 0, 0, 0, 0, 0, 0, -633, 938, 0, 0, 3065, 3065, 1071, 2.77, 0, -35, -280, 0, 0
090359, 315.6, 315.75, 315.95, 315.6, 0.149994, 63.1075, 252.43, 21.0358, 0, 0, 0, 0, 0, 0, -548, 947, 0, 0, 2411, 2411, 1153, 2.81, 0, -134, -481, 0, 0
090459, 315.7, 315.65, 315.75, 315.35, -0.0500183, 78.89, 273.283, 26.2967, 0, 0, 0, 0, 0, 0, -576, 946, 0, 0, 1509, -1509, 1001, 2.78, 0, -223, -523, 0, 0
090559, 315.65, 315.25, 315.8, 315.25, -0.399994, 94.6525, 289.168, 31.5508, 0, 0, 0, 0, 0, 0, -466, 862, -135, 111, 1535, -1535, -5, 2.65, 0, -223, -523, 0, 0
090659, 315.25, 315.25, 315.5, 315.05, 0, 110.415, 300.941, 36.805, 0, 0, 0, 0, 0, 0, -406, 780, -134, 63, 1598, -1598, 110, 2.67, 0, -283, -673, 0, 0
090759, 315.25, 315.2, 315.5, 315.1, -0.0499878, 126.175, 309.064, 42.0583, 0, 0, 0, 0, 0, 0, -183, 653, 90, -57, 1091, -1091, 27, 2.67, 0, -310, -751, 0, 0
090859, 315.2, 315.3, 315.45, 315.2, 0.0999756, 141.94, 313.841, 47.3133, 0, 0, 0, 0, 0, 0, -128, 633, 84, -62, 1204, 1204, 265, 2.71, 0, -310, -751, 0, 0
090959, 315.3, 315.4, 315.45, 315.2, 0.100006, 157.71, 315.42, 52.57, 0, 0, 0, 0, 0, 0, -268, 629, 61, -63, 713, 713, 570, 2.74, 0, -385, -917, 0, 0
091059, 315.4, 315.2, 315.5, 315.05, -0.199982, 173.47, 313.819, 57.8233, 0, 0, 0, 0, 0, 0, -338, 624, 25, -47, 1013, -1013, -155, 2.65, 0, -516, -915, 0, 0
091159, 315.25, 315.6, 315.6, 315.15, 0.350006, 189.25, 309.044, 63.0833, 0, 0, 0, 0, 0, 0, -268, 601, 27, -35, 951, 951, 918, 2.79, 0, -516, -915, 0, 0
091259, 315.55, 315.7, 316.1, 315.55, 0.150024, 205.035, 300.909, 68.345, 0, 0, 0, 0, 0, 0, 123, 378, 61, -55, 2075, 2075, 1150, 2.78, 0, -522, -836, 0, 0
091359, 315.7, 315.7, 315.9, 315.65, 0, 220.82, 289.121, 73.6067, 0, 0, 0, 0, 0, 0, 434, 159, 112, -94, 1053, -1053, 1261, 2.78, 0, -460, -803, 0, 0
091459, 315.7, 315.85, 315.9, 315.65, 0.149994, 236.612, 273.217, 78.8708, 1, 0, 0, 0, 0, 0, 364, 135, 126, -98, 589, 589, 1702, 2.82, 0, -460, -803, 0, 0
091559, 315.85, 316.3, 316.3, 315.85, 0.449982, 252.427, 252.428, 84.1425, 2, 0, 0, 0, 0, 0, 366, 120, 140, -100, 1522, 1522, 2805, 2.92, 0, -439, -827, 0, 0
091659, 316.3, 316.3, 316.6, 316.2, 0, 268.242, 225.37, 89.4142, 2, 0, 0, 0, 0, 0, 395, 54, 132, -109, 2196, -2196, 1991, 2.92, 0, -293, -787, 0, 0
091759, 316.3, 316.3, 316.4, 316.25, 0, 284.057, 189.373, 94.6858, 2, 0, 0, 0, 0, 0, 304, 18, 36, -72, 791, -791, 1958, 2.93, 0, -293, -787, 0, 0
091859, 316.25, 316.25, 316.25, 316, 0, 299.87, 137.592, 99.9566, 2, 0, 0, 0, 0, 0, 260, 21, -34, -27, 1016, 1016, 1880, 2.89, 0, -358, -833, 0, 0
091959, 316.25, 316.15, 316.35, 316.15, -0.100006, 315.677, 0.771016, 105.226, 2, 0, 0, 0, 0, 0, 320, 2, -8, -26, 819, -819, 1646, 2.87, 0, -366, -868, 0, 0
