시간, 시가, 종가, 고가, 저가,  Width, 20mSMA, 20mSD, 60mSMA, UpdateHigh, UpdateLow, Min30m, Time, Max30m, Time, 외인, 기관, 외인5m, 기관5m, 거래량, 거래량(부호),ResQty, 콜(종가), 풋(종가) ,외인(ko), 기관(ko), 외인(ko)5m, 기관(ko)5m
090100, 286.1, 286.15, 286.25, 286, 0.0499878, 14.3075, 124.73, 4.76917, 0, 0, 0, 0, 0, 0, -147, -235, 0, 0, 3830, 3830, 0, 2.45, 0.84, 0, 0, 0, 0
090200, 286.15, 285.65, 286.2, 285.6, -0.5, 28.59, 171.54, 9.53, 0, 0, 0, 0, 0, 0, -287, -144, 0, 0, 3851, -3851, 0, 2.18, 0.97, -21, -22, 0, 0
090300, 285.65, 285.85, 285.9, 285.65, 0.200012, 42.8825, 204.162, 14.2942, 0, 0, 0, 0, 0, 0, -192, 161, 0, 0, 1725, 1725, 0, 2.28, 0.92, -21, -22, 0, 0
090400, 285.85, 285.8, 285.9, 285.8, -0.0500183, 57.1725, 228.69, 19.0575, 0, 0, 0, 0, 0, 0, -37, -87, 0, 0, 1090, -1090, 0, 2.23, 0.94, -17, -83, 0, 0
090500, 285.8, 285.65, 285.8, 285.6, -0.149994, 71.455, 247.527, 23.8183, 0, 0, 0, 0, 0, 0, -279, 13, 0, 0, 1130, -1130, 0, 2.17, 0.97, -25, -92, 0, 0
090600, 285.65, 285.55, 285.7, 285.4, -0.100006, 85.7325, 261.917, 28.5775, 0, 0, 0, 0, 0, 0, -372, 252, -45, 97, 2241, -2241, 0, 2.11, 1, -25, -92, -5, -18
090700, 285.55, 285.7, 285.7, 285.5, 0.150024, 100.018, 272.602, 33.3392, 0, 0, 0, 0, 0, 0, -310, 230, -4, 74, 718, 718, 0, 2.15, 0.96, -31, -174, -2, -30
090800, 285.65, 285.95, 285.95, 285.6, 0.300018, 114.315, 280.013, 38.105, 0, 0, 0, 0, 0, 0, -278, 58, -17, -20, 1393, 1393, 0, 2.31, 0.89, 7, -180, 5, -31
090900, 285.95, 285.9, 285.95, 285.8, -0.0500183, 128.61, 284.367, 42.87, 0, 0, 0, 0, 0, 0, -296, 76, -51, 32, 501, -501, 0, 2.28, 0.91, 7, -180, 4, -19
091000, 285.9, 285.95, 286, 285.9, 0.0500183, 142.908, 285.815, 47.6358, 0, 0, 0, 0, 0, 0, -269, 160, 2, 29, 1053, 1053, 0, 2.32, 0.89, 17, -173, 8, -16
