시간, 시가, 종가, 고가, 저가,  Width, 20mSMA, 20mSD, 60mSMA, UpdateHigh, UpdateLow, Min30m, Time, Max30m, Time, 외인, 기관, 외인5m, 기관5m, 거래량, 거래량(부호),ResQty, 콜(종가), 풋(종가) ,외인(ko), 기관(ko), 외인(ko)5m, 기관(ko)5m
090100, 430, 430.6, 430.75, 429.55, 0.600006, 21.53, 187.694, 7.17667, 0, 0, 0, 0, 0, 0, 635, -83, 0, 0, 6267, 6267, 0, 3.64, 3.46, 0, 0, 0, 0
090200, 430.65, 430.65, 430.8, 430.25, 0, 43.0625, 258.375, 14.3542, 0, 0, 0, 0, 0, 0, 964, -161, 0, 0, 2923, 2923, 0, 3.62, 3.51, -3, 82, 0, 0
090300, 430.6, 430.6, 430.9, 430.4, 0, 64.5925, 307.522, 21.5308, 0, 0, 0, 0, 0, 0, 757, -136, 0, 0, 2397, -2397, 0, 3.62, 3.48, -3, 82, 0, 0
090400, 430.6, 430.25, 430.65, 430, -0.350006, 86.105, 344.42, 28.7017, 0, 0, 0, 0, 0, 0, 366, -63, 0, 0, 2776, -2776, 0, 3.44, 3.63, -269, 151, 0, 0
090500, 430.25, 430.6, 430.75, 430.15, 0.350006, 107.635, 372.859, 35.8783, 0, 0, 0, 0, 0, 0, 450, -76, 0, 0, 1998, 1998, 0, 3.6, 3.5, -469, 84, 0, 0
090600, 430.65, 430.55, 430.75, 430.45, -0.100006, 129.163, 394.598, 43.0542, 0, 0, 0, 0, 0, 0, 759, -259, 24, -35, 1569, -1569, 0, 3.57, 3.55, -469, 84, -93, 16
090700, 430.55, 430.8, 430.85, 430.55, 0.25, 150.702, 410.746, 50.2342, 0, 0, 0, 0, 0, 0, 1195, -437, 46, -55, 1844, 1844, 0, 3.68, 3.44, -506, 144, -100, 12
090800, 430.8, 430.75, 430.85, 430.65, -0.0499878, 172.24, 421.9, 57.4133, 0, 0, 0, 0, 0, 0, 1057, -482, 60, -69, 1006, -1006, 0, 3.63, 3.46, -526, 323, -104, 48
090900, 430.75, 430.75, 430.8, 430.55, 0, 193.778, 428.458, 64.5925, 0, 0, 0, 0, 0, 0, 987, -533, 124, -94, 714, 714, 0, 3.64, 3.45, -526, 323, -51, 34
091000, 430.75, 430.6, 430.8, 430.55, -0.149994, 215.307, 430.615, 71.7692, 0, 0, 0, 0, 0, 0, 1038, -578, 117, -100, 836, -836, 0, 3.58, 3.51, -563, 320, -18, 47
091100, 430.6, 430.65, 430.8, 430.5, 0.0499878, 236.84, 428.46, 78.9467, 0, 0, 0, 0, 0, 0, 1172, -681, 82, -84, 820, 820, 0, 3.6, 3.49, -589, 369, -24, 57
091200, 430.65, 430.4, 430.65, 430.35, -0.25, 258.36, 421.9, 86.12, 0, 0, 0, 0, 0, 0, 1199, -685, 0, -49, 947, -947, 0, 3.5, 3.58, -589, 369, -16, 45
091300, 430.45, 430.05, 430.45, 429.9, -0.400024, 279.863, 410.726, 93.2875, 0, 1, 0, 0, 0, 0, 1184, -704, 25, -44, 1568, -1568, 0, 3.37, 3.72, -722, 373, -39, 10
091400, 430.05, 430.75, 430.75, 430, 0.700012, 301.4, 394.625, 100.467, 0, 1, 0, 0, 0, 0, 1431, -836, 88, -60, 1493, 1493, 0, 3.62, 3.46, -779, 316, -50, -1
091500, 430.7, 430.6, 430.8, 430.55, -0.100006, 322.93, 372.888, 107.643, 0, 1, 0, 0, 0, 0, 1697, -1053, 131, -95, 1021, -1021, 0, 3.55, 3.51, -779, 316, -43, 0
091600, 430.6, 430.25, 430.7, 430.25, -0.350006, 344.442, 344.443, 114.814, 0, 1, 0, 0, 0, 0, 1768, -1099, 119, -83, 1063, -1063, 0, 3.44, 3.63, -744, 561, -31, 38
091700, 430.25, 430.25, 430.35, 430.2, 0, 365.955, 307.464, 121.985, 0, 1, 0, 0, 0, 0, 1656, -1095, 91, -82, 665, -665, 0, 3.45, 3.63, -679, 528, -18, 31
091800, 430.25, 430.15, 430.3, 430.05, -0.100006, 387.462, 258.309, 129.154, 0, 1, 0, 0, 0, 0, 1620, -1062, 87, -71, 841, -841, 0, 3.43, 3.69, -679, 528, 8, 31
091900, 430.2, 430.45, 430.5, 430.1, 0.25, 408.985, 187.656, 136.328, 0, 1, 0, 0, 0, 0, 1683, -1131, 50, -59, 799, 799, 0, 3.51, 3.58, -722, 526, 11, 42
092000, 430.45, 430.45, 430.5, 430.3, 0, 430.507, 0.42459, 143.502, 0, 1, 0, 0, 0, 0, 1964, -1294, 53, -48, 750, 750, 0, 3.53, 3.56, -684, 582, 19, 53
092100, 430.45, 430.6, 430.75, 430.3, 0.149994, 430.508, 0.42459, 150.679, 0, 1, 0, 0, 0, 0, 1794, -1319, 5, -44, 946, 946, 0, 3.59, 3.49, -684, 582, 12, 4
092200, 430.6, 431, 431, 430.55, 0.399994, 430.525, 0.47276, 157.862, 1, 1, 0, 0, 0, 0, 2109, -1339, 90, -48, 1707, 1707, 0, 3.77, 3.38, -684, 748, -1, 44
092300, 431, 430.95, 431.05, 430.8, -0.0499878, 430.542, 0.507227, 165.045, 1, 1, 0, 0, 0, 0, 2236, -1435, 123, -74, 1282, -1282, 0, 3.74, 3.38, -616, 891, 12, 72
092400, 430.95, 431, 431.05, 430.95, 0.0499878, 430.58, 0.525741, 172.228, 1, 1, 0, 0, 0, 0, 2425, -1504, 148, -74, 542, 542, 0, 3.77, 3.38, -616, 891, 21, 73
092500, 431, 431.1, 431.15, 430.9, 0.100006, 430.605, 0.57263, 179.413, 2, 1, 0, 0, 0, 0, 2605, -1668, 128, -74, 1182, 1182, 0, 3.8, 3.34, -586, 941, 19, 71
092600, 431.05, 431, 431.2, 430.95, -0.0499878, 430.628, 0.597059, 186.597, 2, 1, 0, 0, 0, 0, 2555, -1733, 152, -82, 1153, -1153, 0, 3.77, 3.36, -581, 950, 20, 73
092700, 431, 430.85, 431.1, 430.85, -0.149994, 430.63, 0.600338, 193.777, 2, 1, 0, 0, 0, 0, 2471, -1785, 72, -89, 563, -563, 0, 3.68, 3.4, -581, 950, 20, 40
092800, 430.85, 430.9, 430.95, 430.75, 0.0499878, 430.638, 0.60982, 200.959, 2, 1, 0, 0, 0, 0, 2412, -1806, 35, -74, 828, 828, 0, 3.7, 3.38, -566, 948, 10, 11
092900, 430.9, 430.95, 431, 430.9, 0.0500183, 430.648, 0.623283, 208.142, 2, 1, 0, 0, 0, 0, 2707, -1879, 56, -75, 336, 336, 0, 3.73, 3.37, -540, 970, 15, 15
093000, 431, 430.85, 431, 430.8, -0.149994, 430.66, 0.628973, 215.322, 2, 1, 430.05, 13, 431.1, 25, 2646, -1888, 8, -44, 318, -318, 0, 3.67, 3.39, -540, 970, 9, 5
093100, 430.85, 430.75, 430.95, 430.7, -0.100006, 430.665, 0.630164, 222.502, 2, 1, 430.05, 13, 431.1, 25, 2724, -1917, 33, -36, 865, -865, 0, 3.62, 3.43, -571, 993, 2, 8
093200, 430.75, 430.45, 430.75, 430.25, -0.299988, 430.668, 0.626323, 229.676, 2, 1, 430.05, 13, 431.1, 25, 2716, -1989, 49, -40, 1374, -1374, 0, 3.48, 3.55, -614, 998, -6, 9
093300, 430.4, 430.35, 430.45, 430.25, -0.0499878, 430.683, 0.57903, 236.848, 2, 1, 430.05, 13, 431.1, 25, 2703, -1943, 58, -27, 532, -532, 0, 3.45, 3.57, -614, 998, -9, 10
093400, 430.35, 430.55, 430.55, 430.15, 0.199982, 430.673, 0.580927, 244.024, 2, 1, 430.05, 13, 431.1, 25, 2519, -1934, -37, -11, 966, 966, 0, 3.53, 3.48, -759, 886, -43, -16
093500, 430.55, 430.65, 430.7, 430.4, 0.100006, 430.675, 0.580088, 251.202, 2, 1, 430.05, 13, 431.1, 25, 2661, -1928, 3, -8, 904, 904, 0, 3.55, 3.44, -846, 1081, -61, 22
