시간, 시가, 종가, 고가, 저가,  Width, 20mSMA, 20mSD, 60mSMA, UpdateHigh, UpdateLow, Min30m, Time, Max30m, Time, 외인, 기관, 외인5m, 기관5m, 거래량, 거래량(부호),ResQty, 콜(종가), 풋(종가) ,외인(ko), 기관(ko), 외인(ko)5m, 기관(ko)5m
090100, 320.7, 319.8, 321.15, 319.8, -0.900024, 15.99, 139.398, 5.33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5696, -5696, 0, 3.4, 2.72, 0, 0, 0, 0
090200, 319.85, 318.95, 319.95, 318.6, -0.899994, 31.9375, 191.625, 10.6458, 0, 0, 0, 0, 0, 0, -398, -10, 0, 0, 2999, -2999, 0, 3.14, 2.97, -51, 395, 0, 0
090259, 318.9, 319.25, 319.25, 318.5, 0.350006, 47.9, 228.05, 15.9667, 0, 0, 0, 0, 0, 0, -59, -193, 0, 0, 3537, 3537, 83, 3.27, 0, -51, 395, 0, 0
090359, 319.15, 320.2, 320.25, 319.15, 1.05002, 63.91, 255.64, 21.3033, 1, 0, 0, 0, 0, 0, 387, -367, 0, 0, 4149, 4149, 1267, 3.51, 0, 108, 853, 0, 0
090459, 320.15, 320.5, 320.55, 319.95, 0.350006, 79.935, 276.904, 26.645, 2, 0, 0, 0, 0, 0, 433, -459, 0, 0, 2940, 2940, 1687, 3.58, 0, 452, 1046, 0, 0
090559, 320.55, 321.2, 321.25, 320.45, 0.650024, 95.995, 293.271, 31.9983, 3, 0, 0, 0, 0, 0, 443, -641, 88, -128, 2926, 2926, 2861, 3.84, 0, 452, 1046, 0, 0
090659, 321.25, 321, 321.45, 320.8, -0.25, 112.045, 305.385, 37.3483, 3, 0, 0, 0, 0, 0, 400, -804, 159, -158, 2902, -2902, 2731, 3.81, 0, 620, 1234, 0, 0
090759, 321, 320.9, 321.2, 320.8, -0.100006, 128.09, 313.757, 42.6967, 3, 0, 0, 0, 0, 0, 425, -798, 96, -121, 1343, -1343, 2450, 3.8, 0, 1020, 1257, 0, 0
090859, 321, 320.6, 321, 320.4, -0.399994, 144.12, 318.663, 48.04, 3, 0, 0, 0, 0, 0, 269, -805, -23, -87, 1204, -1204, 1748, 3.68, 0, 1020, 1257, 0, 0
090959, 320.55, 320.75, 320.9, 320.45, 0.200012, 160.158, 320.317, 53.3858, 3, 0, 0, 0, 0, 0, 270, -859, -32, -80, 1078, 1078, 2089, 3.73, 0, 967, 1402, 0, 0
091059, 320.75, 320.45, 320.75, 320.4, -0.299988, 176.18, 318.723, 58.7267, 3, 0, 0, 0, 0, 0, 117, -863, -65, -44, 938, -938, 1521, 3.67, 0, 1165, 1481, 0, 0
091159, 320.4, 320.15, 320.55, 320.1, -0.25, 192.188, 313.843, 64.0625, 3, 0, 0, 0, 0, 0, 77, -896, -64, -18, 1006, -1006, 851, 3.58, 0, 1165, 1481, 0, 0
091259, 320.15, 320, 320.2, 319.95, -0.149994, 208.188, 305.537, 69.3958, 3, 0, 0, 0, 0, 0, 128, -982, -59, -36, 1175, -1175, 645, 3.51, 0, 1211, 1547, 0, 0
091359, 320, 320.7, 320.7, 319.8, 0.700012, 224.222, 293.578, 74.7408, 3, 0, 0, 0, 0, 0, 173, -1031, -19, -45, 1815, 1815, 2296, 3.76, 0, 1353, 1689, 0, 0
091459, 320.7, 319.9, 320.9, 319.9, -0.800018, 240.217, 277.381, 80.0725, 3, 0, 0, 0, 0, 0, 621, -1127, 70, -53, 1706, -1706, 777, 3.5, 0, 1353, 1689, 0, 0
091559, 319.85, 319.75, 320, 319.6, -0.100006, 256.205, 256.207, 85.4017, 3, 0, 0, 0, 0, 0, 227, -1207, 22, -68, 1826, -1826, 626, 3.48, 0, 1374, 1734, 0, 0
091659, 319.7, 319.85, 319.95, 319.5, 0.149994, 272.198, 228.694, 90.7325, 3, 0, 0, 0, 0, 0, 202, -1200, 25, -60, 1129, 1129, 975, 3.55, 0, 1382, 1740, 0, 0
091759, 319.8, 319.85, 319.9, 319.6, 0.0500183, 288.19, 192.13, 96.0633, 3, 0, 0, 0, 0, 0, 324, -1217, 39, -47, 902, 902, 1045, 3.53, 0, 1382, 1740, 0, 0
091859, 319.8, 320, 320, 319.7, 0.200012, 304.19, 139.576, 101.397, 3, 0, 0, 0, 0, 0, 334, -1230, 32, -39, 680, 680, 1307, 3.56, 0, 1578, 1814, 0, 0
091959, 319.95, 319.55, 319.95, 319.4, -0.400024, 320.168, 1.15251, 106.723, 3, 0, 0, 0, 0, 0, 237, -1224, -76, -19, 1057, -1057, 486, 3.44, 0, 1597, 1835, 0, 0
092059, 319.6, 320.3, 320.35, 319.5, 0.699982, 320.193, 1.14117, 112.061, 3, 0, 0, 0, 0, 0, 271, -1310, 8, -20, 1449, 1449, 1762, 3.68, 0, 1597, 1835, 0, 0
092159, 320.25, 319.95, 320.35, 319.9, -0.299988, 320.242, 0.997639, 117.393, 3, 0, 0, 0, 0, 0, 209, -1368, 1, -33, 956, -956, 1051, 3.53, 0, 1778, 2024, 0, 0
092259, 319.95, 320.2, 320.25, 319.9, 0.25, 320.29, 0.888598, 122.73, 3, 0, 0, 0, 0, 0, 307, -1346, -3, -25, 731, 731, 1682, 3.6, 0, 1861, 2019, 0, 0
092359, 320.25, 320.5, 320.6, 320.2, 0.25, 320.305, 0.892136, 128.072, 3, 0, 0, 0, 0, 0, 572, -1459, 47, -45, 1300, 1300, 2041, 3.67, 0, 1861, 2019, 0, 0
092459, 320.45, 320.7, 320.7, 320.45, 0.25, 320.315, 0.905046, 133.417, 3, 0, 0, 0, 0, 0, 604, -1443, 73, -43, 586, 586, 2530, 3.71, 0, 1957, 2170, 0, 0
092559, 320.7, 320.9, 320.95, 320.65, 0.199982, 320.3, 0.854402, 138.765, 3, 0, 0, 0, 0, 0, 543, -1418, 54, -21, 1208, 1208, 2810, 3.77, 0, 2003, 2173, 0, 0
092659, 320.85, 320.95, 320.95, 320.8, 0.100006, 320.298, 0.846452, 144.114, 3, 0, 0, 0, 0, 0, 427, -1394, 43, -5, 751, 751, 2932, 3.79, 0, 2003, 2211, 0, 0
092759, 320.95, 320.75, 320.95, 320.7, -0.200012, 320.29, 0.82741, 149.46, 3, 0, 0, 0, 0, 0, 469, -1434, 32, -17, 737, -737, 2476, 3.76, 0, 1924, 2218, 0, 0
092859, 320.75, 321.1, 321.1, 320.6, 0.350006, 320.315, 0.891128, 154.812, 3, 0, 0, 0, 0, 0, 705, -1513, 26, -10, 1461, 1461, 3329, 3.88, 0, 1888, 2259, 0, 0
092959, 321.15, 321.15, 321.2, 321.05, 0, 320.335, 0.945572, 160.164, 3, 0, 318.95, 2, 321.2, 6, 694, -1626, 18, -36, 807, 807, 3356, 3.88, 0, 1888, 2347, 0, 0
