시간, 시가, 종가, 고가, 저가,  Width, 20mSMA, 20mSD, 60mSMA, UpdateHigh, UpdateLow, Min30m, Time, Max30m, Time, 외인, 기관, 외인5m, 기관5m, 거래량, 거래량(부호),ResQty, 콜(종가), 풋(종가) ,외인(ko), 기관(ko), 외인(ko)5m, 기관(ko)5m
084600, 396.25, 397.3, 397.35, 395.8, 1.04999, 19.865, 173.179, 6.62167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6112, 6112, 0, 1.96, 0.34, 0, 0, 0, 0
084700, 397.3, 397.6, 397.65, 397, 0.300018, 39.745, 238.47, 13.2483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2249, 2249, 0, 2.04, 0.31, 0, 0, 0, 0
084800, 397.6, 397.25, 397.7, 397.2, -0.350006, 59.6075, 283.789, 19.8692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1355, -1355, 0, 1.87, 0.34, 0, 0, 0, 0
084900, 397.25, 397.35, 397.4, 397.15, 0.100006, 79.475, 317.9, 26.4917, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 746, 746, 0, 1.89, 0.32, 0, 0, 0, 0
085000, 397.3, 397.25, 397.3, 397.05, -0.0499878, 99.3375, 344.115, 33.1125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 886, -886, 0, 1.87, 0.35, 0, 0, 0, 0
085100, 397.25, 397, 397.3, 397, -0.25, 119.188, 364.124, 39.7292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 926, -926, 0, 1.74, 0.37, 0, 0, 0, 0
085200, 397.05, 397, 397.15, 397, -0.0499878, 139.038, 378.952, 46.3458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 469, -469, 0, 1.76, 0.37, 0, 0, 0, 0
085300, 397, 396.95, 397.1, 396.85, -0.0499878, 158.885, 389.187, 52.9617, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 650, -650, 0, 1.7, 0.38, 0, 0, 0, 0
085400, 396.95, 396.9, 397.05, 396.8, -0.0500183, 178.73, 395.187, 59.5767, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 677, -677, 0, 1.69, 0.38, 0, 0, 0, 0
085500, 396.9, 396.55, 396.95, 396.5, -0.350006, 198.558, 397.115, 66.1858, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1048, -1048, 0, 1.55, 0.42, 0, 0, 0, 0
085600, 396.55, 396.45, 396.7, 396.35, -0.0999756, 218.38, 395.065, 72.7933, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1274, -1274, 0, 1.5, 0.44, 0, 0, 0, 0
085700, 396.45, 396.7, 396.75, 396.4, 0.25, 238.215, 389.004, 79.405, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 822, 822, 0, 1.62, 0.41, 0, 0, 0, 0
085800, 396.7, 396.4, 396.75, 396.4, -0.300018, 258.035, 378.692, 86.0117, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 726, -726, 0, 1.48, 0.47, 0, 0, 0, 0
085900, 396.45, 396.45, 396.45, 396.15, 0, 277.857, 363.801, 92.6192, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1571, 1571, 0, 1.5, 0.47, 0, 0, 0, 0
090000, 396.45, 396.7, 396.75, 396.4, 0.25, 297.692, 343.746, 99.2308, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1611, 1611, 0, 1.59, 0.42, 0, 0, 0, 0
090100, 396.7, 397, 397.3, 396.65, 0.299988, 317.542, 317.543, 105.847, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3388, 3388, 0, 1.7, 0.39, 0, 0, 0, 0
090200, 397, 397.5, 397.65, 396.85, 0.5, 337.417, 283.488, 112.472, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2948, 2948, 0, 1.9, 0.32, 0, 0, 0, 0
090300, 397.5, 397.75, 397.8, 397.25, 0.25, 357.305, 238.205, 119.102, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2708, 2708, 0, 2.02, 0.28, 0, 0, 0, 0
090400, 397.75, 397.4, 397.85, 397.4, -0.350006, 377.175, 173.062, 125.725, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3353, -3353, 0, 1.8, 0.32, 0, 0, 0, 0
090500, 397.35, 397.05, 397.6, 396.95, -0.300018, 397.027, 0.776833, 132.342, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3311, -3311, 0, 1.63, 0.34, 0, 0, 0, 0
090600, 397.05, 396.5, 397.05, 396.4, -0.549988, 396.987, 0.798669, 138.951, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4069, -4069, 0, 1.4, 0.4, 0, 0, 0, 0
090700, 396.45, 396.4, 396.85, 396.4, -0.0500183, 396.928, 0.785794, 145.558, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1882, -1882, 0, 1.36, 0.4, 0, 0, 0, 0
090800, 396.4, 396.15, 396.5, 396.05, -0.25, 396.872, 0.839925, 152.16, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3039, -3039, 0, 1.27, 0.44, 0, 0, 0, 0
090900, 396.15, 396.15, 396.25, 395.8, 0, 396.812, 0.865953, 158.762, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3302, 3302, 0, 1.29, 0.45, 0, 0, 0, 0
091000, 396.15, 396.6, 396.65, 396.05, 0.450012, 396.78, 0.846404, 165.372, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2363, 2363, 0, 1.45, 0.39, 0, 0, 0, 0
091100, 396.55, 396.65, 396.8, 396.55, 0.100006, 396.763, 0.841947, 171.983, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2032, 2032, 0, 1.47, 0.38, 0, 0, 0, 0
091200, 396.65, 396.8, 396.95, 396.5, 0.149994, 396.753, 0.835149, 178.597, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1105, 1105, 0, 1.5, 0.37, 0, 0, 0, 0
091300, 396.75, 396.7, 396.85, 396.6, -0.0499878, 396.74, 0.83042, 185.208, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1092, -1092, 0, 1.47, 0.37, 0, 0, 0, 0
091400, 396.7, 396.5, 396.7, 396.4, -0.200012, 396.72, 0.833306, 191.817, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1472, -1472, 0, 1.36, 0.41, 0, 0, 0, 0
091500, 396.45, 396.8, 396.85, 396.35, 0.349976, 396.733, 0.830224, 198.43, 1, 6, 396.15, 24, 397.75, 18, 0, 0, 0, 0, 1149, 1149, 0, 1.49, 0.35, 0, 0, 0, 0
091600, 396.75, 396.8, 396.9, 396.55, 0.0499878, 396.75, 0.820365, 205.043, 1, 6, 396.15, 24, 397.75, 18, 0, 0, 0, 0, 854, 854, 0, 1.5, 0.34, 0, 0, 0, 0
091700, 396.8, 396.7, 396.9, 396.6, -0.0999756, 396.75, 0.820365, 211.655, 1, 6, 396.15, 24, 397.75, 18, 0, 0, 0, 0, 587, -587, 0, 1.45, 0.36, 0, 0, 0, 0
091800, 396.7, 396.9, 396.95, 396.65, 0.199982, 396.775, 0.806534, 218.27, 1, 6, 396.15, 24, 397.75, 18, 0, 0, 0, 0, 761, 761, 0, 1.54, 0.33, 0, 0, 0, 0
091900, 396.9, 396.7, 397, 396.7, -0.199982, 396.788, 0.793646, 224.882, 1, 6, 396.15, 24, 397.75, 18, 0, 0, 0, 0, 882, -882, 0, 1.44, 0.35, 0, 0, 0, 0
092000, 396.7, 396.45, 396.7, 396.45, -0.25, 396.775, 0.806534, 231.489, 1, 6, 396.15, 24, 397.75, 18, 0, 0, 0, 0, 946, -946, 0, 1.33, 0.38, 0, 0, 0, 0
092100, 396.45, 396.5, 396.6, 396.35, 0.0499878, 396.75, 0.808083, 238.098, 1, 6, 396.15, 24, 397.75, 18, 0, 0, 0, 0, 601, 601, 0, 1.35, 0.38, 0, 0, 0, 0
092200, 396.55, 396.5, 396.6, 396.3, -0.0499878, 396.7, 0.736883, 244.706, 1, 6, 396.15, 24, 397.75, 18, 0, 0, 0, 0, 722, -722, 0, 1.35, 0.37, 0, 0, 0, 0
