시간, 시가, 종가, 고가, 저가,  Width, 20mSMA, 20mSD, 60mSMA, UpdateHigh, UpdateLow, Min30m, Time, Max30m, Time, 외인, 기관, 외인5m, 기관5m, 거래량, 거래량(부호),ResQty, 콜(종가), 풋(종가) ,외인(ko), 기관(ko), 외인(ko)5m, 기관(ko)5m
090100, 434.5, 434.45, 434.6, 434, -0.0499878, 21.7225, 189.372, 7.24083, 0, 0, 0, 0, 0, 0, 59, 155, 0, 0, 3686, -3686, 0, 3.06, 3.8, 0, 0, 0, 0
090200, 434.4, 434.15, 434.6, 434.15, -0.25, 43.43, 260.58, 14.4767, 0, 0, 0, 0, 0, 0, -70, 350, 0, 0, 1982, -1982, 0, 2.93, 3.87, -115, -451, 0, 0
090300, 434.1, 433.85, 434.35, 433.8, -0.25, 65.1225, 310.045, 21.7075, 0, 0, 0, 0, 0, 0, -598, 459, 0, 0, 1916, -1916, 0, 2.83, 3.98, -115, -451, 0, 0
090400, 433.9, 433.65, 433.9, 433.65, -0.25, 86.805, 347.22, 28.935, 0, 1, 0, 0, 0, 0, -562, 501, 0, 0, 1341, -1341, 0, 2.79, 4.08, -327, -674, 0, 0
090500, 433.6, 433.7, 433.9, 433.6, 0.100006, 108.49, 375.82, 36.1633, 0, 1, 0, 0, 0, 0, -594, 498, 0, 0, 811, 811, 0, 2.79, 4.06, -419, -837, 0, 0
090600, 433.65, 433.35, 433.7, 433.3, -0.299988, 130.158, 397.638, 43.3858, 0, 2, 0, 0, 0, 0, -1018, 489, -215, 66, 1661, -1661, 0, 2.7, 4.16, -419, -837, -83, -167
090700, 433.35, 433.5, 433.5, 433.3, 0.149994, 151.832, 413.826, 50.6108, 0, 2, 0, 0, 0, 0, -915, 464, -169, 22, 1192, 1192, 0, 2.73, 4.1, -537, -952, -84, -100
090800, 433.55, 433.4, 433.7, 433.4, -0.149994, 173.502, 424.993, 57.8342, 0, 2, 0, 0, 0, 0, -881, 486, -56, 5, 994, -994, 0, 2.69, 4.1, -642, -867, -105, -83
090900, 433.4, 433.5, 433.55, 433.35, 0.100006, 195.177, 431.554, 65.0592, 0, 2, 0, 0, 0, 0, -985, 488, -84, -2, 545, 545, 0, 2.72, 4.1, -642, -867, -63, -38
091000, 433.5, 433.7, 433.75, 433.5, 0.200012, 216.863, 433.725, 72.2875, 0, 2, 0, 0, 0, 0, -933, 527, -67, 5, 908, 908, 0, 2.77, 4.01, -663, -975, -48, -27
091100, 433.7, 433.85, 434, 433.5, 0.149994, 238.555, 431.562, 79.5183, 0, 2, 0, 0, 0, 0, -1030, 532, -2, 8, 1332, 1332, 0, 2.82, 3.98, -701, -1043, -56, -41
091200, 433.85, 434.05, 434.3, 433.8, 0.199982, 260.258, 424.999, 86.7525, 0, 2, 0, 0, 0, 0, -605, 443, 62, -4, 1835, 1835, 0, 2.86, 3.89, -701, -1043, -32, -18
091300, 434.05, 434.3, 434.4, 434.05, 0.25, 281.973, 413.823, 93.9908, 0, 2, 0, 0, 0, 0, -549, 372, 66, -22, 1888, 1888, 0, 2.91, 3.8, -644, -1123, 0, -51
091400, 434.3, 434.6, 434.85, 434.3, 0.300018, 303.703, 397.64, 101.234, 1, 2, 0, 0, 0, 0, -212, 270, 154, -43, 2158, 2158, 0, 3.01, 3.69, -687, -1140, -9, -54
091500, 434.65, 434.95, 435, 434.55, 0.300018, 325.45, 375.798, 108.483, 2, 2, 0, 0, 0, 0, -21, 180, 182, -69, 1874, 1874, 0, 3.12, 3.58, -687, -1140, -4, -33
091600, 435, 435.2, 435.35, 434.9, 0.200012, 347.21, 347.211, 115.737, 3, 2, 0, 0, 0, 0, 601, -36, 326, -113, 2921, 2921, 0, 3.22, 3.52, -570, -1159, 26, -23
