90100,296.9,296.7,4873,-0.199982,0,0,0,0,0,296.75,0,0,0,0,632,-338,0,0,0,306570,1252,0.04,0.04,0,0,0,0,0,0
90200,296.75,296.95,2086,0.200012,0,0,0,0,0,296.9,0,0,0,0.0130005,875,-968,0,0,0,306697,127,-0.1,-0.03,0,0,0,0,0,0
90300,297,296.8,1134,-0.200012,0,0,0,0,0,296.85,0,0,0,0.0180359,1170,-1057,0,0,0,306795,98,0.19,0.0433333,0,0,0,0,0,0
90400,296.8,296.75,1881,-0.0499878,0,0,0,0,0,296.75,0,0,0,0.0128174,1354,-1135,0,0,0,307209,414,0,0.0325,0,0,0,0,0,0
90500,296.75,296.7,947,-0.0499878,0,0,0,0,0,296.737,0,0,0,0.00762939,1483,-1225,0,0,0,307514,305,0.12,0.05,0,0,0,0,0,0
90600,296.7,296.55,1933,-0.150024,0,0,0,0,0,296.587,0,0,0,-0.00930786,1591,-1248,0,0,0,307795,281,0.15,0.0666667,0,0,0,0,0,0
90700,296.55,296.55,1205,0,0,0,0,0,0,296.563,0,0,0,-0.0238647,1673,-1162,0,0,0,308072,277,0.11,0.0728571,0,0,0,0,0,0
90800,296.6,296.5,965,-0.100006,0,0,0,0,0,296.538,0,0,0,-0.036377,1479,-1051,121,-101,0,308189,117,0.17,0.085,0,0,0,0,0,0
90900,296.5,296.3,1750,-0.200012,0,0,0,0,0,296.362,0,0,0,-0.0601807,1488,-1045,87,-11,0,308243,54,0.1,0.0866667,0,0,0,0,0,0
91000,296.3,296.3,1563,0,0,-0.75,0,0,0,296.35,0,0,0,-0.0778198,1716,-1024,78,4,398,308531,288,0.16,0.094,0,0,0,0,0,0
91100,296.3,296.4,1750,0.100006,0,-0.450012,0,0.341457,0,296.35,0,30.821,0,-0.0895386,2075,-1021,103,16,1147,308861,330,0.07,0.0918182,0,0,3,0,7,5
91200,296.4,296.45,1127,0.0500183,0,-0.600006,0.0769207,0.358968,0,296.45,0,25.0295,0,-0.0879822,2391,-1029,129,28,1249,309027,166,-0.01,0.0833333,0,0,3,1,7,5
91300,296.45,296.55,1202,0.0999756,0,-0.300018,0.102571,0.358968,0,296.525,0,35.2869,0,-0.0788574,2249,-913,94,47,1117,309351,324,0.15,0.0884615,0,0,3,2,7,5
91400,296.55,296.45,1030,-0.0999756,0,-0.350006,0.114295,0.285719,0,296.475,0,38.0978,0,-0.0750122,2022,-819,49,49,945,309283,-68,0.09,0.0885714,0,0,4,2,7,4
91500,296.5,296.75,1059,0.25,0,-0.0500183,0.210543,0.263163,0,296.688,0,47.5009,48.9417,-0.0524902,1962,-809,69,34,810,309302,19,0.04,0.0853333,0,0,4,3,6,4
91600,296.7,296.65,769,-0.0500183,0,0.0499878,0.210547,0.184204,0,296.663,0,53.2309,60.3054,-0.0370789,1925,-810,62,33,604,309111,-191,-0.14,0.07125,0,0,5,3,5,3
91700,296.7,296.6,496,-0.100006,0,-0.0500183,0.210547,0.157894,0,296.638,0,50.6277,68.6008,-0.0271912,1835,-712,17,44,695,309000,-111,-0.06,0.0635294,0,0,5,3,4,2
91800,296.65,296.8,432,0.149994,0,0.199982,0.230785,0.153846,0,296.75,0,57.93,78.6013,-0.00967407,2031,-819,-6,28,769,308977,-23,-0.02,0.0588889,0,0,5,4,4,2
91900,296.8,296.6,628,-0.199982,0,0.200012,0.230785,0.0769231,0,296.638,0,65.5754,84.2426,-0.0062561,1981,-817,-58,30,472,308829,-148,0.08,0.06,0,0,5,4,3,2
92000,296.6,296.5,896,-0.100006,0,0.100006,0.236861,0.13157,296.3,296.604,0.0235311,59.3177,74.2426,-0.0144653,1851,-792,-56,17,5,308983,154,-0.05,0.0545,0,0,5,4,3,3
92100,296.45,296.5,700,0.0499878,0,0.0499878,0.250017,0.111122,296.3,296.59,0.0360529,50.0054,64.5459,-0.0235291,1829,-770,-27,7,-303,309069,86,0.15,0.0590476,0,0,5,4,3,3
92200,296.45,296.5,532,0.0499878,0,0.0499573,0.181837,0.121224,296.3,296.569,0.0406931,41.3571,55.0007,-0.0287781,1864,-795,-14,2,-267,309124,55,0.14,0.0627273,0,0,5,3,3,3
92300,296.5,296.5,702,0,0,-0.0500183,0.161298,0.161318,296.3,296.551,0.0446559,28.0865,40.0011,-0.0332031,1794,-742,-18,9,-151,309228,104,0.11,0.0647826,0,0,4,2,3,4
92400,296.5,296.5,135,0,0.0399963,0.0499573,0.166673,0.166694,296.3,296.537,0.0462677,34.8421,31.6678,-0.00525716,1890,-741,7,-4,-4,309203,-25,0.05,0.0641667,0,0,4,2,2,4
92500,296.5,296.55,628,0.0499878,0.0299927,-0.150055,0.142851,0.178602,296.3,296.528,0.0464403,27.5405,29.1676,1.63E-05,1903,-725,-18,13,63,309151,-52,0.11,0.066,0,0,3,2,2,4
92600,296.55,296.6,367,0.0500183,0.0299988,-0.0500183,0.142851,0.178602,296.3,296.528,0.0479715,41.4002,32.5017,0.00479329,1835,-687,-20,18,25,309558,407,0.06,0.0657692,0,0,3,2,2,4
92700,296.6,297,4576,0.399994,0.1,0.449982,0.435903,0.128226,296.3,296.549,0.105037,79.7698,40.8349,0.0249837,2796,-1272,135,-68,312,309120,-438,0.06,0.0655556,1,0,4,3,2,4
92800,297,297.05,1010,0.0499878,0.109998,0.349976,0.410267,0.128226,296.3,296.574,0.149446,81.2146,50.2789,0.0371867,2425,-1273,85,-71,-12,309148,28,-0.1,0.0596429,2,0,5,2,3,4
