시간, 시가, 종가, 고가, 저가,  Width, 20mSMA, 20mSD, 60mSMA, UpdateHigh, UpdateLow, Min30m, Time, Max30m, Time, 외인, 기관, 외인5m, 기관5m, 거래량, 거래량(부호),ResQty, 콜(종가), 풋(종가) ,외인(ko), 기관(ko), 외인(ko)5m, 기관(ko)5m
090100, 439.6, 439.2, 439.7, 439.1, -0.399994, 21.96, 191.443, 7.32, 0, 0, 0, 0, 0, 0, -821, 556, 0, 0, 4641, -4641, 0, 2.82, 3.78, 0, 0, 0, 0
090200, 439.2, 439.1, 439.45, 439.05, -0.100006, 43.915, 263.49, 14.6383, 0, 0, 0, 0, 0, 0, -951, 496, 0, 0, 1910, -1910, 0, 2.77, 3.77, 141, -471, 0, 0
090300, 439.1, 439.05, 439.15, 438.8, -0.0500183, 65.8675, 313.592, 21.9558, 0, 0, 0, 0, 0, 0, -1253, 592, 0, 0, 1399, -1399, 0, 2.72, 3.78, 141, -471, 0, 0
090400, 439.05, 438.95, 439.1, 438.85, -0.0999756, 87.815, 351.26, 29.2717, 0, 0, 0, 0, 0, 0, -1044, 583, 0, 0, 1267, -1267, 0, 2.69, 3.84, 47, -562, 0, 0
090500, 438.95, 439.1, 439.1, 438.85, 0.149994, 109.77, 380.254, 36.59, 0, 0, 0, 0, 0, 0, -997, 546, 0, 0, 975, 975, 0, 2.75, 3.78, -16, -530, 0, 0
090600, 439.1, 438.85, 439.15, 438.85, -0.25, 131.712, 402.388, 43.9042, 0, 0, 0, 0, 0, 0, -988, 472, -33, -16, 828, -828, 0, 2.66, 3.86, -16, -530, -3, -106
090700, 438.85, 438.9, 439.05, 438.8, 0.0499878, 153.658, 418.8, 51.2192, 0, 0, 0, 0, 0, 0, -950, 305, 0, -38, 1112, 1112, 0, 2.69, 3.84, 60, -467, -16, 0
090800, 438.9, 438.85, 439, 438.8, -0.0499878, 175.6, 430.13, 58.5333, 0, 0, 0, 0, 0, 0, -1032, 270, 44, -64, 936, -936, 0, 2.68, 3.85, 267, -293, 25, 35
090900, 438.85, 439.25, 439.35, 438.85, 0.399994, 197.563, 436.827, 65.8542, 0, 0, 0, 0, 0, 0, -842, 210, 40, -74, 1465, 1465, 0, 2.82, 3.68, 267, -293, 44, 53
091000, 439.25, 439.35, 439.4, 439.1, 0.100006, 219.53, 439.06, 73.1767, 0, 0, 0, 0, 0, 0, -803, 183, 38, -72, 1003, 1003, 0, 2.85, 3.66, 470, -235, 97, 59
091100, 439.35, 439.05, 439.35, 438.95, -0.300018, 241.483, 436.858, 80.4942, 0, 0, 0, 0, 0, 0, -999, 100, -2, -74, 1111, -1111, 0, 2.77, 3.77, 610, -202, 125, 65
091200, 439.05, 439.05, 439.15, 438.95, 0, 263.435, 430.188, 87.8117, 0, 0, 0, 0, 0, 0, -1002, 49, -10, -51, 595, -595, 0, 2.75, 3.77, 610, -202, 110, 53
091300, 439.1, 439.1, 439.25, 439.05, 0, 285.39, 418.838, 95.13, 0, 0, 0, 0, 0, 0, -865, 36, 33, -46, 391, -391, 0, 2.76, 3.76, 634, -174, 73, 23
091400, 439.05, 439.3, 439.4, 438.95, 0.25, 307.355, 402.422, 102.452, 0, 0, 0, 0, 0, 0, -878, 41, -7, -33, 766, 766, 0, 2.82, 3.67, 709, -32, 88, 52
091500, 439.3, 439.15, 439.3, 439.1, -0.149994, 329.313, 380.257, 109.771, 0, 0, 0, 0, 0, 0, -685, -1, 23, -36, 392, -392, 0, 2.8, 3.72, 709, -32, 47, 40
091600, 439.2, 439.2, 439.25, 439.1, 0, 351.273, 351.273, 117.091, 0, 0, 0, 0, 0, 0, -676, -18, 64, -23, 304, 304, 0, 2.79, 3.72, 782, 3, 34, 41
091700, 439.2, 439.05, 439.2, 439, -0.150024, 373.225, 313.572, 124.408, 0, 0, 0, 0, 0, 0, -716, -18, 57, -13, 679, -679, 0, 2.74, 3.75, 725, 46, 23, 49
091800, 439, 438.95, 439.05, 438.75, -0.0499878, 395.173, 263.448, 131.724, 0, 0, 0, 0, 0, 0, -847, -40, 3, -15, 1199, -1199, 0, 2.72, 3.79, 725, 46, 18, 44
091900, 438.95, 439.15, 439.2, 438.95, 0.199982, 417.13, 191.393, 139.043, 0, 0, 0, 0, 0, 0, -712, -27, 33, -13, 623, 623, 0, 2.79, 3.7, 836, 122, 25, 30
092000, 439.15, 439, 439.2, 438.95, -0.149994, 439.08, 0.272762, 146.36, 0, 0, 0, 0, 0, 0, -694, 9, -1, 2, 303, -303, 0, 2.71, 3.77, 850, 138, 28, 34
092100, 439, 438.85, 439.05, 438.85, -0.149994, 439.063, 0.284382, 153.674, 0, 0, 0, 0, 0, 0, -883, 122, -41, 28, 545, -545, 0, 2.67, 3.82, 850, 138, 13, 27
092200, 438.9, 439, 439.05, 438.8, 0.100006, 439.057, 0.285084, 160.991, 0, 0, 0, 0, 0, 0, -735, 37, -3, 11, 574, 574, 0, 2.71, 3.77, 804, 161, 15, 23
092300, 438.95, 439.15, 439.2, 438.95, 0.199982, 439.063, 0.287876, 168.31, 0, 0, 0, 0, 0, 0, -642, 24, 41, 12, 491, 491, 0, 2.78, 3.7, 968, 360, 48, 62
092400, 439.15, 439.15, 439.2, 439.05, 0, 439.072, 0.285435, 175.629, 0, 0, 0, 0, 0, 0, -532, 4, 36, 6, 318, 318, 0, 2.77, 3.69, 968, 360, 26, 47
092500, 439.2, 439.15, 439.2, 439.1, -0.0500183, 439.075, 0.287224, 182.948, 0, 0, 0, 0, 0, 0, -485, -2, 41, -2, 184, -184, 0, 2.77, 3.69, 1064, 397, 42, 51
092600, 439.15, 439.5, 439.55, 439.15, 0.350006, 439.108, 0.322915, 190.273, 0, 0, 0, 0, 0, 0, -290, -158, 118, -56, 1745, 1745, 0, 2.87, 3.58, 1053, 453, 40, 63
092700, 439.45, 439.3, 439.55, 439.2, -0.150024, 439.127, 0.318548, 197.595, 0, 0, 0, 0, 0, 0, -410, -271, 65, -61, 1059, -1059, 0, 2.79, 3.65, 1053, 453, 49, 58
092800, 439.3, 439.2, 439.35, 439.2, -0.0999756, 439.145, 0.293085, 204.915, 0, 0, 0, 0, 0, 0, -526, -263, 23, -57, 211, -211, 0, 2.76, 3.67, 1082, 462, 22, 20
