시간, 시가, 종가, 고가, 저가,  Width, 20mSMA, 20mSD, 60mSMA, UpdateHigh, UpdateLow, Min30m, Time, Max30m, Time, 외인, 기관, 외인5m, 기관5m, 거래량, 거래량(부호),ResQty, 콜(종가), 풋(종가) ,외인(ko), 기관(ko), 외인(ko)5m, 기관(ko)5m
090100, 432.75, 432.75, 432.8, 432.5, 0, 21.6375, 188.631, 7.2125, 0, 0, 0, 0, 0, 0, 331, 726, 0, 0, 3681, 3681, 0, 2.94, 3.28, 0, 0, 0, 0
090200, 432.7, 432.7, 433.2, 432.7, 0, 43.2725, 259.635, 14.4242, 0, 0, 0, 0, 0, 0, 591, 852, 0, 0, 2679, -2679, 0, 2.95, 3.26, -208, -141, 0, 0
090300, 432.7, 432.85, 433, 432.65, 0.149994, 64.915, 309.057, 21.6383, 0, 0, 0, 0, 0, 0, 782, 743, 0, 0, 1065, 1065, 0, 3, 3.21, -208, -141, 0, 0
090400, 432.85, 432.85, 432.9, 432.7, 0, 86.5575, 346.23, 28.8525, 0, 0, 0, 0, 0, 0, 836, 675, 0, 0, 889, 889, 0, 2.97, 3.23, -337, -334, 0, 0
090500, 432.85, 432.95, 432.95, 432.7, 0.100006, 108.205, 374.833, 36.0683, 0, 0, 0, 0, 0, 0, 865, 641, 0, 0, 809, 809, 0, 2.99, 3.16, -341, -327, 0, 0
090600, 432.95, 433.1, 433.1, 432.95, 0.149994, 129.86, 396.729, 43.2867, 0, 0, 0, 0, 0, 0, 1162, 537, 166, -37, 1386, 1386, 0, 3.02, 3.1, -341, -327, -68, -65
090700, 433.1, 433.65, 433.65, 433.05, 0.549988, 151.542, 413.035, 50.5142, 0, 0, 0, 0, 0, 0, 1236, 535, 129, -63, 2512, 2512, 0, 3.19, 2.92, -210, -317, 0, -35
090800, 433.65, 433.7, 433.7, 433.5, 0.0500183, 173.228, 424.319, 57.7425, 1, 0, 0, 0, 0, 0, 1341, 360, 111, -76, 1231, 1231, 0, 3.19, 2.9, -72, -232, 27, -18
090900, 433.7, 433.45, 433.75, 433.4, -0.25, 194.9, 430.94, 64.9667, 1, 0, 0, 0, 0, 0, 1470, 299, 126, -75, 1148, -1148, 0, 3.13, 2.95, -72, -232, 53, 20
091000, 433.5, 433.3, 433.55, 433.2, -0.200012, 216.565, 433.13, 72.1883, 1, 0, 0, 0, 0, 0, 1493, 324, 125, -63, 1316, -1316, 0, 3.05, 3.04, 148, -253, 97, 14
091100, 433.3, 433.15, 433.35, 433.1, -0.149994, 238.223, 430.961, 79.4075, 1, 0, 0, 0, 0, 0, 1300, 392, 27, -29, 769, -769, 0, 3.04, 3.08, 164, -407, 101, -16
091200, 433.1, 433.45, 433.45, 433, 0.350006, 259.895, 424.407, 86.6317, 1, 0, 0, 0, 0, 0, 1464, 402, 45, -26, 993, 993, 0, 3.11, 2.96, 164, -407, 74, -18
091300, 433.4, 433.35, 433.65, 433.35, -0.0499878, 281.563, 413.221, 93.8542, 1, 0, 0, 0, 0, 0, 1209, 365, -26, 1, 1239, -1239, 0, 3.09, 2.99, 602, -376, 134, -28
